"","X.1","X","date","time","landfall","type","lat","long","category","US"
"1",1,1,"AL011851","UNNAMED","14","","","",0,NA
"2",2,2,"18510625","0","","HU","28","94.8W",1,NA
"3",3,3,"18510625","600","","HU","28","95.4W",1,NA
"4",4,4,"18510625","1200","","HU","28","96.0W",1,NA
"5",5,5,"18510625","1800","","HU","28.1","96.5W",1,NA
"6",6,6,"18510625","2100","L","HU","28.2","96.8W",1,NA
"7",7,7,"18510626","0","","HU","28.2","97.0W",1,"TRUE"
"8",8,8,"18510626","600","","TS","28.3","97.6W",0,"TRUE"
"9",9,9,"18510626","1200","","TS","28.4","98.3W",0,"TRUE"
"10",10,10,"18510626","1800","","TS","28.6","98.9W",0,"TRUE"
"11",11,11,"18510627","0","","TS","29","99.4W",0,"TRUE"
"12",12,12,"18510627","600","","TS","29.5","99.8W",0,"TRUE"
"13",13,13,"18510627","1200","","TS","30","100.0W",0,"TRUE"
"14",14,14,"18510627","1800","","TS","30.5","100.1W",0,"TRUE"
"15",15,15,"18510628","0","","TS","31","100.2W",0,"TRUE"
"16",16,16,"AL021851","UNNAMED","1","","","",0,NA
"17",17,17,"18510705","1200","","HU","22.2","97.6W",1,NA
"18",18,18,"AL031851","UNNAMED","1","","","",0,NA
"19",19,19,"18510710","1200","","TS","12","60.0W",0,NA
"20",20,20,"AL041851","UNNAMED","49","","","",0,NA
"21",21,21,"18510816","0","","TS","13.4","48.0W",0,NA
"22",22,22,"18510816","600","","TS","13.7","49.5W",0,NA
"23",23,23,"18510816","1200","","TS","14","51.0W",0,NA
"24",24,24,"18510816","1800","","TS","14.4","52.8W",0,NA
"25",25,25,"18510817","0","","TS","14.9","54.6W",0,NA
"26",26,26,"18510817","600","","TS","15.4","56.5W",0,NA
"27",27,27,"18510817","1200","","HU","15.9","58.5W",1,NA
"28",28,28,"18510817","1800","","HU","16.1","60.4W",1,NA
"29",29,29,"18510818","0","","HU","16.6","62.5W",1,NA
"30",30,30,"18510818","600","","HU","16.9","64.1W",1,NA
"31",31,31,"18510818","1200","","HU","17.2","66.0W",2,NA
"32",32,32,"18510818","1800","","HU","17.6","67.6W",2,NA
"33",33,33,"18510819","0","","HU","18","69.3W",2,NA
"34",34,34,"18510819","600","","HU","18.4","71.1W",1,"Dominican Republic"
"35",35,35,"18510819","1200","","TS","18.9","72.6W",0,"Haiti"
"36",36,36,"18510819","1800","","TS","19.4","74.3W",0,NA
"37",37,37,"18510820","0","","HU","19.9","75.9W",1,NA
"38",38,38,"18510820","600","","HU","20.5","77.6W",1,NA
"39",39,39,"18510820","1200","","HU","21.2","79.0W",1,NA
"40",40,40,"18510820","1800","","HU","21.9","80.4W",1,NA
"41",41,41,"18510821","0","","TS","22.6","81.4W",0,"Cuba"
"42",42,42,"18510821","600","","TS","23.2","82.5W",0,NA
"43",43,43,"18510821","1200","","HU","23.9","83.6W",1,NA
"44",44,44,"18510821","1800","","HU","24.4","84.3W",1,NA
"45",45,45,"18510822","0","","HU","25","84.9W",1,NA
"46",46,46,"18510822","600","","HU","25.6","85.5W",1,NA
"47",47,47,"18510822","1200","","HU","26.2","86.0W",2,NA
"48",48,48,"18510822","1800","","HU","26.8","86.3W",2,NA
"49",49,49,"18510823","0","","HU","27.4","86.5W",3,NA
"50",50,50,"18510823","600","","HU","28","86.6W",3,NA
"51",51,51,"18510823","1200","","HU","28.5","86.6W",3,NA
"52",52,52,"18510823","1800","","HU","29.6","86.1W",3,NA
"53",53,53,"18510823","2100","L","HU","30.1","85.7W",3,NA
"54",54,54,"18510824","0","","HU","30.7","85.1W",2,"TRUE"
"55",55,55,"18510824","600","","HU","31.6","84.1W",1,"TRUE"
"56",56,56,"18510824","1200","","TS","32.5","83.0W",0,"TRUE"
"57",57,57,"18510824","1800","","TS","33.4","81.4W",0,"TRUE"
"58",58,58,"18510825","0","","TS","34","80.0W",0,"TRUE"
"59",59,59,"18510825","600","","TS","34.8","78.6W",0,"TRUE"
"60",60,60,"18510825","1200","","TS","35.8","77.0W",0,"TRUE"
"61",61,61,"18510825","1800","","TS","36.8","75.1W",0,NA
"62",62,62,"18510826","0","","TS","37.8","73.6W",0,NA
"63",63,63,"18510826","600","","TS","38.9","71.8W",0,NA
"64",64,64,"18510826","1200","","TS","40","70.0W",0,NA
"65",65,65,"18510826","1800","","TS","41.3","66.8W",0,NA
"66",66,66,"18510827","0","","TS","42.8","63.3W",0,NA
"67",67,67,"18510827","600","","TS","44.5","60.2W",0,NA
"68",68,68,"18510827","1200","","TS","46.4","57.2W",0,NA
"69",69,69,"18510827","1800","","TS","48.5","54.2W",0,"Canada"
"70",70,70,"AL051851","UNNAMED","16","","","",0,NA
"71",71,71,"18510913","0","","TS","32.5","73.5W",0,NA
"72",72,72,"18510913","600","","TS","32.5","73.5W",0,NA
"73",73,73,"18510913","1200","","TS","32.5","73.5W",0,NA
"74",74,74,"18510913","1800","","TS","32.5","73.5W",0,NA
"75",75,75,"18510914","0","","TS","32.5","73.5W",0,NA
"76",76,76,"18510914","600","","TS","32.5","73.5W",0,NA
"77",77,77,"18510914","1200","","TS","32.5","73.5W",0,NA
"78",78,78,"18510914","1800","","TS","32.5","73.5W",0,NA
"79",79,79,"18510915","0","","TS","32.5","73.5W",0,NA
"80",80,80,"18510915","600","","TS","32.5","73.5W",0,NA
"81",81,81,"18510915","1200","","TS","32.5","73.5W",0,NA
"82",82,82,"18510915","1800","","TS","32.5","73.5W",0,NA
"83",83,83,"18510916","0","","TS","32.5","73.5W",0,NA
"84",84,84,"18510916","600","","TS","32.5","73.5W",0,NA
"85",85,85,"18510916","1200","","TS","32.5","73.5W",0,NA
"86",86,86,"18510916","1800","","TS","32.5","73.5W",0,NA
"87",87,87,"AL061851","UNNAMED","17","","","",0,NA
"88",88,88,"18511016","0","","TS","28.7","78.0W",0,NA
"89",89,89,"18511016","600","","TS","29.1","77.8W",0,NA
"90",90,90,"18511016","1200","","TS","29.5","77.5W",0,NA
"91",91,91,"18511016","1800","","TS","30.1","77.1W",0,NA
"92",92,92,"18511017","0","","TS","30.7","76.6W",0,NA
"93",93,93,"18511017","600","","TS","31.2","76.3W",0,NA
"94",94,94,"18511017","1200","","TS","31.6","75.9W",0,NA
"95",95,95,"18511017","1800","","TS","32","75.5W",0,NA
"96",96,96,"18511018","0","","TS","32.7","74.9W",0,NA
"97",97,97,"18511018","600","","TS","33.3","74.3W",0,NA
"98",98,98,"18511018","1200","","TS","34","73.8W",0,NA
"99",99,99,"18511018","1800","","TS","35.3","73.0W",0,NA
"100",100,100,"18511019","0","","TS","37","72.6W",0,NA
"101",101,101,"18511019","600","","TS","38.5","72.1W",0,NA
"102",102,102,"18511019","1200","","TS","40.2","71.8W",0,NA
"103",103,103,"18511019","1500","L","TS","41.1","71.7W",0,NA
"104",104,104,"18511019","1800","","TS","42","71.6W",0,"TRUE"
"105",105,105,"AL011852","UNNAMED","45","","","",0,NA
"106",106,106,"18520819","0","","TS","20.5","67.1W",0,NA
"107",107,107,"18520819","600","","TS","20.7","68.0W",0,NA
"108",108,108,"18520819","1200","","TS","20.9","68.8W",0,NA
"109",109,109,"18520819","1800","","TS","21.1","69.6W",0,NA
"110",110,110,"18520820","0","","HU","21.2","70.6W",1,NA
"111",111,111,"18520820","600","","HU","21.5","71.9W",1,NA
"112",112,112,"18520820","1200","","HU","21.7","73.0W",1,NA
"113",113,113,"18520820","1800","","HU","21.9","74.0W",1,NA
"114",114,114,"18520821","0","","HU","22.1","74.9W",1,NA
"115",115,115,"18520821","600","","HU","22.2","76.1W",1,NA
"116",116,116,"18520821","1200","","HU","22.6","77.1W",1,NA
"117",117,117,"18520821","1800","","HU","22.9","78.1W",1,NA
"118",118,118,"18520822","0","","HU","23.2","79.3W",2,NA
"119",119,119,"18520822","600","","HU","23.5","80.1W",2,NA
"120",120,120,"18520822","1200","","HU","23.8","81.1W",2,NA
"121",121,121,"18520822","1800","","HU","24.2","82.1W",2,NA
"122",122,122,"18520823","0","","HU","24.7","83.1W",2,NA
"123",123,123,"18520823","600","","HU","25.2","83.9W",2,NA
"124",124,124,"18520823","1200","","HU","25.7","84.6W",2,NA
"125",125,125,"18520823","1800","","HU","26.2","85.3W",2,NA
"126",126,126,"18520824","0","","HU","26.7","86.0W",3,NA
"127",127,127,"18520824","600","","HU","27.2","86.6W",3,NA
"128",128,128,"18520824","1200","","HU","27.7","87.1W",3,NA
"129",129,129,"18520824","1800","","HU","28.2","87.5W",3,NA
"130",130,130,"18520825","0","","HU","28.6","87.8W",3,NA
"131",131,131,"18520825","600","","HU","28.8","88.0W",3,NA
"132",132,132,"18520825","1200","","HU","29.1","88.2W",3,NA
"133",133,133,"18520825","1800","","HU","29.4","88.4W",3,NA
"134",134,134,"18520826","0","","HU","29.8","88.6W",3,NA
"135",135,135,"18520826","600","L","HU","30.2","88.6W",3,NA
"136",136,136,"18520826","1200","","HU","30.6","88.5W",2,"TRUE"
"137",137,137,"18520826","1800","","HU","31.2","88.1W",1,"TRUE"
"138",138,138,"18520827","0","","TS","31.8","87.4W",0,"TRUE"
"139",139,139,"18520827","600","","TS","32.3","86.3W",0,"TRUE"
"140",140,140,"18520827","1200","","TS","32.8","84.8W",0,"TRUE"
"141",141,141,"18520827","1800","","TS","33.2","82.8W",0,"TRUE"
"142",142,142,"18520828","0","","TS","33.5","80.5W",0,"TRUE"
"143",143,143,"18520828","600","","TS","33.8","78.2W",0,NA
"144",144,144,"18520828","1200","","TS","34","76.0W",0,NA
"145",145,145,"18520828","1800","","TS","34.4","74.2W",0,NA
"146",146,146,"18520829","0","","TS","35.2","72.8W",0,NA
"147",147,147,"18520829","600","","TS","36.4","71.8W",0,NA
"148",148,148,"18520829","1200","","TS","38","70.8W",0,NA
"149",149,149,"18520829","1800","","TS","39.6","69.6W",0,NA
"150",150,150,"18520830","0","","TS","41","68.0W",0,NA
"151",151,151,"AL021852","UNNAMED","8","","","",0,NA
"152",152,152,"18520905","0","","HU","17","64.1W",1,NA
"153",153,153,"18520905","600","","HU","17.4","65.1W",1,NA
"154",154,154,"18520905","1200","","HU","17.7","66.1W",1,NA
"155",155,155,"18520905","1800","","TS","18.2","67.1W",0,"Puerto Rico"
"156",156,156,"18520906","0","","TS","18.6","68.8W",0,"Dominican Republic"
"157",157,157,"18520906","600","","TS","19.2","70.1W",0,"Dominican Republic"
"158",158,158,"18520906","1200","","TS","19.5","71.4W",0,"Dominican Republic"
"159",159,159,"18520906","1800","","TS","19.7","72.5W",0,"Haiti"
"160",160,160,"AL031852","UNNAMED","20","","","",0,NA
"161",161,161,"18520909","0","","HU","26.4","90.4W",1,NA
"162",162,162,"18520909","600","","HU","26.5","89.6W",1,NA
"163",163,163,"18520909","1200","","HU","26.6","88.8W",1,NA
"164",164,164,"18520909","1800","","HU","26.6","88.1W",1,NA
"165",165,165,"18520910","0","","HU","26.8","87.4W",1,NA
"166",166,166,"18520910","600","","HU","26.9","86.6W",1,NA
"167",167,167,"18520910","1200","","HU","27.1","86.1W",1,NA
"168",168,168,"18520910","1800","","HU","27.3","85.6W",1,NA
"169",169,169,"18520911","0","","HU","27.5","85.1W",1,NA
"170",170,170,"18520911","600","","HU","27.7","84.6W",1,NA
"171",171,171,"18520911","1200","","HU","27.8","84.0W",1,NA
"172",172,172,"18520911","1800","","HU","27.9","83.4W",1,NA
"173",173,173,"18520912","0","L","HU","28","82.8W",1,"TRUE"
"174",174,174,"18520912","600","","TS","28.1","82.2W",0,"TRUE"
"175",175,175,"18520912","1200","","TS","28.2","81.5W",0,"TRUE"
"176",176,176,"18520912","1800","","TS","28.5","80.5W",0,NA
"177",177,177,"18520913","0","","TS","29.2","79.0W",0,NA
"178",178,178,"18520913","600","","HU","30.4","77.0W",1,NA
"179",179,179,"18520913","1200","","HU","32","74.5W",1,NA
"180",180,180,"18520913","1800","","HU","34","71.5W",1,NA
"181",181,181,"AL041852","UNNAMED","36","","","",0,NA
"182",182,182,"18520922","0","","TS","16.1","58.5W",0,NA
"183",183,183,"18520922","600","","TS","16.4","59.1W",0,NA
"184",184,184,"18520922","1200","","TS","16.7","59.7W",0,NA
"185",185,185,"18520922","1800","","TS","17","60.3W",0,NA
"186",186,186,"18520923","0","","TS","17.4","61.2W",0,NA
"187",187,187,"18520923","600","","TS","17.7","62.2W",0,NA
"188",188,188,"18520923","1200","","HU","18.1","63.1W",1,NA
"189",189,189,"18520923","1800","","HU","18.4","63.7W",1,NA
"190",190,190,"18520924","0","","HU","18.7","64.3W",1,NA
"191",191,191,"18520924","600","","HU","18.9","65.0W",1,NA
"192",192,192,"18520924","1200","","HU","19.1","65.8W",1,NA
"193",193,193,"18520924","1800","","HU","19.2","66.6W",1,NA
"194",194,194,"18520925","0","","HU","19.5","67.4W",1,NA
"195",195,195,"18520925","600","","HU","19.7","68.1W",1,NA
"196",196,196,"18520925","1200","","HU","19.9","68.8W",1,NA
"197",197,197,"18520925","1800","","HU","20","69.6W",1,NA
"198",198,198,"18520926","0","","HU","20.1","70.3W",1,NA
"199",199,199,"18520926","600","","HU","20.4","70.9W",1,NA
"200",200,200,"18520926","1200","","HU","20.7","71.6W",1,NA
"201",201,201,"18520926","1800","","HU","21","72.1W",1,NA
"202",202,202,"18520927","0","","HU","21.4","73.0W",1,NA
"203",203,203,"18520927","600","","HU","21.9","73.6W",1,NA
"204",204,204,"18520927","1200","","HU","22.5","74.0W",1,NA
"205",205,205,"18520927","1800","","HU","23.2","74.4W",1,NA
"206",206,206,"18520928","0","","HU","23.9","74.6W",1,NA
"207",207,207,"18520928","600","","HU","24.6","74.6W",1,NA
"208",208,208,"18520928","1200","","HU","25.4","74.5W",1,NA
"209",209,209,"18520928","1800","","HU","26.5","74.0W",1,NA
"210",210,210,"18520929","0","","HU","27.4","73.5W",1,NA
"211",211,211,"18520929","600","","HU","28.2","72.9W",1,NA
"212",212,212,"18520929","1200","","HU","29","72.3W",1,NA
"213",213,213,"18520929","1800","","HU","30.2","71.5W",1,NA
"214",214,214,"18520930","0","","HU","31.6","70.5W",1,NA
"215",215,215,"18520930","600","","HU","32.7","69.6W",1,NA
"216",216,216,"18520930","1200","","HU","33.8","69.1W",1,NA
"217",217,217,"18520930","1800","","HU","34.9","68.6W",1,NA
"218",218,218,"AL051852","UNNAMED","25","","","",0,NA
"219",219,219,"18521006","0","","HU","17","73.8W",2,NA
"220",220,220,"18521006","600","","HU","17.1","75.0W",2,NA
"221",221,221,"18521006","1200","","HU","17.2","76.3W",2,NA
"222",222,222,"18521006","1800","","HU","17.2","77.8W",2,NA
"223",223,223,"18521007","0","","HU","17.7","79.6W",2,NA
"224",224,224,"18521007","600","","HU","18.2","81.5W",2,NA
"225",225,225,"18521007","1200","","HU","18.7","83.1W",2,NA
"226",226,226,"18521007","1800","","HU","19.5","84.4W",2,NA
"227",227,227,"18521008","0","","HU","20.4","85.5W",2,NA
"228",228,228,"18521008","600","","HU","21.2","86.4W",2,NA
"229",229,229,"18521008","1200","","HU","22.4","86.9W",2,NA
"230",230,230,"18521008","1800","","HU","24","86.8W",2,NA
"231",231,231,"18521009","0","","HU","25.6","86.4W",2,NA
"232",232,232,"18521009","600","","HU","26.9","85.9W",2,NA
"233",233,233,"18521009","1200","","HU","28","85.5W",2,NA
"234",234,234,"18521009","1800","","HU","29.2","84.9W",2,NA
"235",235,235,"18521009","2100","L","HU","29.9","84.4W",2,NA
"236",236,236,"18521010","0","","HU","30.5","83.9W",1,"TRUE"
"237",237,237,"18521010","600","","TS","31.8","82.8W",0,"TRUE"
"238",238,238,"18521010","1200","","TS","33","81.1W",0,"TRUE"
"239",239,239,"18521010","1800","","TS","34","79.5W",0,"TRUE"
"240",240,240,"18521011","0","","TS","35","77.0W",0,"TRUE"
"241",241,241,"18521011","600","","TS","36","74.0W",0,NA
"242",242,242,"18521011","1200","","TS","38","70.0W",0,NA
"243",243,243,"18521011","1800","","TS","40","66.0W",0,NA
"244",244,244,"AL011853","UNNAMED","1","","","",0,NA
"245",245,245,"18530805","1200","","TS","32.5","69.0W",0,NA
"246",246,246,"AL021853","UNNAMED","1","","","",0,NA
"247",247,247,"18530810","1200","","TS","12","60.0W",0,NA
"248",248,248,"AL031853","UNNAMED","48","","","",0,NA
"249",249,249,"18530830","0","","TS","12.1","23.2W",0,NA
"250",250,250,"18530830","600","","TS","12.3","25.1W",0,NA
"251",251,251,"18530830","1200","","TS","12.5","27.0W",0,NA
"252",252,252,"18530830","1800","","TS","12.8","28.9W",0,NA
"253",253,253,"18530831","0","","TS","13","30.9W",0,NA
"254",254,254,"18530831","600","","TS","13.3","33.0W",0,NA
"255",255,255,"18530831","1200","","TS","13.6","35.0W",0,NA
"256",256,256,"18530831","1800","","TS","13.9","36.8W",0,NA
"257",257,257,"18530901","0","","HU","14.2","38.5W",1,NA
"258",258,258,"18530901","600","","HU","14.6","40.5W",1,NA
"259",259,259,"18530901","1200","","HU","14.9","42.3W",1,NA
"260",260,260,"18530901","1800","","HU","15.2","43.9W",1,NA
"261",261,261,"18530902","0","","HU","15.7","45.7W",2,NA
"262",262,262,"18530902","600","","HU","16.2","47.3W",2,NA
"263",263,263,"18530902","1200","","HU","16.7","49.0W",3,NA
"264",264,264,"18530902","1800","","HU","17.4","51.0W",3,NA
"265",265,265,"18530903","0","","HU","18.2","52.8W",4,NA
"266",266,266,"18530903","600","","HU","19.1","54.6W",4,NA
"267",267,267,"18530903","1200","","HU","19.7","56.2W",4,NA
"268",268,268,"18530903","1800","","HU","20.7","58.0W",4,NA
"269",269,269,"18530904","0","","HU","21.2","59.9W",4,NA
"270",270,270,"18530904","600","","HU","22","61.8W",4,NA
"271",271,271,"18530904","1200","","HU","22.7","63.7W",4,NA
"272",272,272,"18530904","1800","","HU","23.4","65.3W",4,NA
"273",273,273,"18530905","0","","HU","24.2","67.1W",4,NA
"274",274,274,"18530905","600","","HU","25","68.6W",4,NA
"275",275,275,"18530905","1200","","HU","25.8","70.1W",4,NA
"276",276,276,"18530905","1800","","HU","26.6","71.1W",4,NA
"277",277,277,"18530906","0","","HU","27.3","72.0W",4,NA
"278",278,278,"18530906","600","","HU","28.2","72.9W",4,NA
"279",279,279,"18530906","1200","","HU","29.1","73.5W",4,NA
"280",280,280,"18530906","1800","","HU","30.2","74.0W",4,NA
"281",281,281,"18530907","0","","HU","31.2","74.3W",3,NA
"282",282,282,"18530907","600","","HU","32.5","74.1W",3,NA
"283",283,283,"18530907","1200","","HU","33.7","73.9W",3,NA
"284",284,284,"18530907","1800","","HU","34.9","72.9W",3,NA
"285",285,285,"18530908","0","","HU","36","71.6W",3,NA
"286",286,286,"18530908","600","","HU","36.8","69.9W",3,NA
"287",287,287,"18530908","1200","","HU","37.5","67.9W",3,NA
"288",288,288,"18530908","1800","","HU","38.2","65.4W",3,NA
"289",289,289,"18530909","0","","HU","39","62.3W",3,NA
"290",290,290,"18530909","600","","HU","39.9","59.4W",2,NA
"291",291,291,"18530909","1200","","HU","40.8","56.8W",1,NA
"292",292,292,"18530909","1800","","HU","41.9","53.4W",1,NA
"293",293,293,"18530910","0","","HU","42.9","49.5W",1,NA
"294",294,294,"18530910","600","","HU","43.9","45.5W",1,NA
"295",295,295,"18530910","1200","","HU","45","41.2W",1,NA
"296",296,296,"18530910","1800","","HU","46.2","36.2W",1,NA
"297",297,297,"AL041853","UNNAMED","12","","","",0,NA
"298",298,298,"18530908","0","","HU","37","53.0W",3,NA
"299",299,299,"18530908","600","","HU","38","51.0W",3,NA
"300",300,300,"18530908","1200","","HU","39","49.0W",3,NA
"301",301,301,"18530908","1800","","HU","40","46.8W",3,NA
"302",302,302,"18530909","0","","HU","41.3","44.0W",3,NA
"303",303,303,"18530909","600","","HU","42.5","41.5W",3,NA
"304",304,304,"18530909","1200","","HU","43.4","39.3W",3,NA
"305",305,305,"18530909","1800","","HU","44.5","37.2W",3,NA
"306",306,306,"18530910","0","","HU","45.5","34.7W",3,NA
"307",307,307,"18530910","600","","HU","46.3","32.3W",3,NA
"308",308,308,"18530910","1200","","HU","47","30.0W",2,NA
"309",309,309,"18530910","1800","","HU","48","27.5W",2,NA
"310",310,310,"AL051853","UNNAMED","1","","","",0,NA
"311",311,311,"18530921","1200","","TS","20","95.0W",0,NA
"312",312,312,"AL061853","UNNAMED","22","","","",0,NA
"313",313,313,"18530926","0","","TS","25.8","62.0W",0,NA
"314",314,314,"18530926","600","","TS","27.4","62.5W",0,NA
"315",315,315,"18530926","1200","","TS","29","62.9W",0,NA
"316",316,316,"18530926","1800","","TS","30.6","63.2W",0,NA
"317",317,317,"18530927","0","","TS","32.9","62.6W",0,NA
"318",318,318,"18530927","600","","TS","34.8","61.3W",0,NA
"319",319,319,"18530927","1200","","HU","36","59.8W",1,NA
"320",320,320,"18530927","1800","","HU","36.7","58.4W",1,NA
"321",321,321,"18530928","0","","HU","36.8","57.4W",1,NA
"322",322,322,"18530928","600","","HU","36.3","56.7W",1,NA
"323",323,323,"18530928","1200","","HU","35.5","56.9W",1,NA
"324",324,324,"18530928","1800","","HU","35.5","57.0W",1,NA
"325",325,325,"18530929","0","","HU","35.4","57.2W",1,NA
"326",326,326,"18530929","600","","HU","35.3","57.4W",1,NA
"327",327,327,"18530929","1200","","HU","35.3","57.7W",1,NA
"328",328,328,"18530929","1800","","HU","35.4","57.9W",1,NA
"329",329,329,"18530930","0","","HU","35.5","58.1W",1,NA
"330",330,330,"18530930","600","","HU","35.5","58.2W",1,NA
"331",331,331,"18530930","1200","","HU","35.8","58.3W",1,NA
"332",332,332,"18530930","1800","","HU","36.3","58.0W",1,NA
"333",333,333,"18531001","0","","HU","37","57.5W",1,NA
"334",334,334,"18531001","600","","HU","38","56.8W",1,NA
"335",335,335,"AL071853","UNNAMED","1","","","",0,NA
"336",336,336,"18530928","1200","","TS","15","37.0W",0,NA
"337",337,337,"AL081853","UNNAMED","14","","","",0,NA
"338",338,338,"18531019","0","","HU","27.5","78.5W",1,NA
"339",339,339,"18531019","600","","HU","28","78.9W",1,NA
"340",340,340,"18531019","1200","","HU","28.5","79.3W",1,NA
"341",341,341,"18531019","1800","","HU","28.9","79.6W",1,NA
"342",342,342,"18531020","0","","HU","29.3","79.9W",1,NA
"343",343,343,"18531020","600","","HU","29.7","80.2W",1,NA
"344",344,344,"18531020","1200","","HU","30","80.5W",2,NA
"345",345,345,"18531020","1800","","HU","30.3","80.7W",2,NA
"346",346,346,"18531021","0","","HU","30.6","80.9W",2,NA
"347",347,347,"18531021","600","","HU","30.9","80.9W",2,NA
"348",348,348,"18531021","1200","","HU","31.3","80.6W",1,NA
"349",349,349,"18531021","1800","","HU","31.7","80.1W",1,NA
"350",350,350,"18531022","0","","HU","32.1","79.4W",1,NA
"351",351,351,"18531022","600","","HU","32.5","78.5W",1,NA
"352",352,352,"AL011854","UNNAMED","11","","","",0,NA
"353",353,353,"18540625","0","","TS","26","92.5W",0,NA
"354",354,354,"18540625","600","","TS","26","93.0W",0,NA
"355",355,355,"18540625","1200","","HU","26","93.5W",1,NA
"356",356,356,"18540625","1800","","HU","26","94.0W",1,NA
"357",357,357,"18540626","0","","HU","26","94.7W",1,NA
"358",358,358,"18540626","600","","HU","26.1","95.7W",1,NA
"359",359,359,"18540626","1200","L","HU","26.2","97.0W",1,NA
"360",360,360,"18540626","1800","","TS","26.4","98.5W",0,"TRUE"
"361",361,361,"18540627","0","","TS","26.8","100.0W",0,"Mexico"
"362",362,362,"18540627","600","","TS","27.4","101.5W",0,"Mexico"
"363",363,363,"18540627","1200","","TS","28","103.0W",0,"Mexico"
"364",364,364,"AL021854","UNNAMED","1","","","",0,NA
"365",365,365,"18540823","1200","","TS","33","55.0W",0,NA
"366",366,366,"AL031854","UNNAMED","25","","","",0,NA
"367",367,367,"18540907","0","","HU","26.4","76.6W",3,NA
"368",368,368,"18540907","600","","HU","27.2","77.6W",3,NA
"369",369,369,"18540907","1200","","HU","28","78.6W",3,NA
"370",370,370,"18540907","1800","","HU","28.8","79.6W",3,NA
"371",371,371,"18540908","0","","HU","29.6","80.3W",3,NA
"372",372,372,"18540908","600","","HU","30.4","80.6W",3,NA
"373",373,373,"18540908","1200","","HU","31.1","80.9W",3,NA
"374",374,374,"18540908","1800","","HU","31.6","81.1W",3,NA
"375",375,375,"18540908","2000","L","HU","31.7","81.1W",3,NA
"376",376,376,"18540909","0","","HU","32","81.3W",1,"TRUE"
"377",377,377,"18540909","600","","HU","32.5","81.5W",1,"TRUE"
"378",378,378,"18540909","1200","","TS","33.2","81.5W",0,"TRUE"
"379",379,379,"18540909","1800","","TS","34.3","80.5W",0,"TRUE"
"380",380,380,"18540910","0","","TS","35.5","78.1W",0,"TRUE"
"381",381,381,"18540910","600","","TS","36.8","75.9W",0,NA
"382",382,382,"18540910","1200","","TS","37.8","74.0W",0,NA
"383",383,383,"18540910","1800","","TS","38.4","71.9W",0,NA
"384",384,384,"18540911","0","","HU","38.8","69.5W",1,NA
"385",385,385,"18540911","600","","HU","39","67.3W",1,NA
"386",386,386,"18540911","1200","","HU","39.4","65.0W",2,NA
"387",387,387,"18540911","1800","","HU","39.5","61.8W",2,NA
"388",388,388,"18540912","0","","HU","39.8","58.3W",2,NA
"389",389,389,"18540912","600","","HU","40","55.1W",2,NA
"390",390,390,"18540912","1200","","HU","40","52.0W",1,NA
"391",391,391,"18540912","1800","","HU","40.2","48.0W",1,NA
"392",392,392,"AL041854","UNNAMED","11","","","",0,NA
"393",393,393,"18540918","0","","HU","28.2","93.6W",2,NA
"394",394,394,"18540918","600","","HU","28.4","94.1W",2,NA
"395",395,395,"18540918","1200","","HU","28.6","94.6W",2,NA
"396",396,396,"18540918","1800","","HU","28.8","95.1W",2,NA
"397",397,397,"18540918","2100","L","HU","28.9","95.3W",2,NA
"398",398,398,"18540919","0","","HU","29","95.6W",1,"TRUE"
"399",399,399,"18540919","600","","HU","29.2","96.1W",1,"TRUE"
"400",400,400,"18540919","1200","","TS","29.4","96.5W",0,"TRUE"
"401",401,401,"18540919","1800","","TS","29.7","96.6W",0,"TRUE"
"402",402,402,"18540920","0","","TS","30","96.4W",0,"TRUE"
"403",403,403,"18540920","600","","TS","30.3","96.0W",0,"TRUE"
"404",404,404,"AL051854","UNNAMED","12","","","",0,NA
"405",405,405,"18541020","0","","TS","25","67.6W",0,NA
"406",406,406,"18541020","600","","TS","25.8","67.6W",0,NA
"407",407,407,"18541020","1200","","TS","26.7","67.6W",0,NA
"408",408,408,"18541020","1800","","TS","27.6","67.5W",0,NA
"409",409,409,"18541021","0","","TS","28.6","67.3W",0,NA
"410",410,410,"18541021","600","","TS","29.5","67.0W",0,NA
"411",411,411,"18541021","1200","","TS","30.3","66.6W",0,NA
"412",412,412,"18541021","1800","","TS","31.5","65.6W",0,NA
"413",413,413,"18541022","0","","TS","32.4","64.3W",0,NA
"414",414,414,"18541022","600","","TS","33","62.8W",0,NA
"415",415,415,"18541022","1200","","TS","33.5","61.0W",0,NA
"416",416,416,"18541022","1800","","TS","34.2","58.7W",0,NA
"417",417,417,"AL011855","UNNAMED","1","","","",0,NA
"418",418,418,"18550806","1200","","HU","22.2","98.0W",2,"Mexico"
"419",419,419,"AL021855","UNNAMED","6","","","",0,NA
"420",420,420,"18550810","0","","HU","44","42.0W",2,NA
"421",421,421,"18550810","600","","HU","46","39.0W",2,NA
"422",422,422,"18550810","1200","","HU","48","36.0W",2,NA
"423",423,423,"18550810","1800","","HU","50","32.5W",2,NA
"424",424,424,"18550811","0","","HU","52","29.0W",2,NA
"425",425,425,"18550811","600","","HU","54","24.0W",2,NA
"426",426,426,"AL031855","UNNAMED","1","","","",0,NA
"427",427,427,"18550811","1200","","HU","12.5","83.0W",1,NA
"428",428,428,"AL041855","UNNAMED","16","","","",0,NA
"429",429,429,"18550824","0","","TS","12","55.9W",0,NA
