"","city_origin","city_destination","origin_lat","origin_long","destin_lat","destin_long"
"2407","HIGHISLAND","SAINTMARKS",29.5668955,-94.3935216,38.406403,-96.1830516
"2408","HIGHISLAND","SAINTMARKS",29.5668955,-94.3935216,38.406403,-96.1830516
"2409","HIGHISLAND","SAINTMARKS",29.5668955,-94.3935216,38.406403,-96.1830516
"2410","MORGANCITY","SAINTMARKS",29.6993748,-91.20677,38.406403,-96.1830516
"2411","MISSISSIPPIRIVER","SAINTMARKS",38.3349047,-92.2113914,38.406403,-96.1830516
"2412","SANLUISPASS","MISSISSIPPIRIVER",29.0824652,-95.1215959,38.3349047,-92.2113914
"2413","MISSISSIPPIRIVER","PASCAGOULA",38.3349047,-92.2113914,30.3657552,-88.5561272
"2414","SANLUISPASS","MISSISSIPPIRIVER",29.0824652,-95.1215959,38.3349047,-92.2113914
"2415","MISSISSIPPIRIVER","PASCAGOULA",38.3349047,-92.2113914,30.3657552,-88.5561272
"2416","SANLUISPASS","MISSISSIPPIRIVER",29.0824652,-95.1215959,38.3349047,-92.2113914
"2417","MISSISSIPPIRIVER","PASCAGOULA",38.3349047,-92.2113914,30.3657552,-88.5561272
"2418","SANLUISPASS","MISSISSIPPIRIVER",29.0824652,-95.1215959,38.3349047,-92.2113914
"2419","MISSISSIPPIRIVER","PASCAGOULA",38.3349047,-92.2113914,30.3657552,-88.5561272
"2420","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2421","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2422","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2423","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2424","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2425","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2426","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2427","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2428","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2429","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2430","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2431","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
"2432","HIGHISLAND","MISSISSIPPIRIVER",29.5668955,-94.3935216,38.3349047,-92.2113914
"2433","FREEPORT","HIGHISLAND",26.5416093,-78.6455475,29.5668955,-94.3935216
"2434","MISSISSIPPIRIVER","AL/FLBORDER",38.3349047,-92.2113914,30.5736051,-87.4122681
