"","long","lat","distance_track","distance_watch","origin_lat","origin_long","origin_ref","destin_lat","destin_long","destin_ref","date_analyzed","max_category","watchzone_ref_long","watchzone_ref_lat","intersection_long","intersection_lat","intersect_ref_long","intersect_ref_lat"
"948",-90.9,29.2,47.4590694806803,2.20550319356983,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.9226684570312,29.1750087738037,-91.5357360839844,29.6047306060791,-91.5,29.6
"949",-90.76,29.2,54.4999676208431,4.70130152429617,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.7221374511719,29.1406326293945,-91.5357360839844,29.6047306060791,-91.5,29.6
"1022",-91.04,29.34,35.0290885610491,6.00328485913841,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.1289367675781,29.301061630249,-91.5357360839844,29.6047306060791,-91.5,29.6
"1023",-90.9,29.34,42.4466899183383,10.0414685894792,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.9570465087891,29.2036590576172,-91.5357360839844,29.6047306060791,-91.5,29.6
"1024",-90.76,29.34,50.1858422563569,10.3426059733185,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5903549194336,29.3182487487793,-91.5357360839844,29.6047306060791,-91.5,29.6
"1025",-90.62,29.34,58.1182229865325,2.33708883649274,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5903549194336,29.3182487487793,-91.5357360839844,29.6047306060791,-91.5,29.6
"1026",-90.48,29.34,66.1743718041022,2.55899561963528,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.4986801147461,29.306791305542,-91.5357360839844,29.6047306060791,-91.5,29.6
"1027",-90.34,29.34,74.3140379558221,2.31011039509056,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.3439865112305,29.306791305542,-91.5357360839844,29.6047306060791,-91.5,29.6
"1101",-91.18,29.48,23.0855765670039,4.00094199426343,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.2263412475586,29.4385738372803,-91.5357360839844,29.6047306060791,-91.5,29.6
"1102",-91.04,29.48,31.0615219967397,9.844137618913,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.1690444946289,29.3927364349365,-91.5357360839844,29.6047306060791,-91.5,29.6
"1103",-90.9,29.48,39.2263938505346,16.9572170022912,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.1403961181641,29.3526287078857,-91.5357360839844,29.6047306060791,-91.5,29.6
"1104",-90.76,29.48,47.4828231013379,15.0753654260651,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5788955688477,29.3297100067139,-91.5357360839844,29.6047306060791,-91.5,29.6
"1105",-90.62,29.48,55.7901662930269,10.6889642775904,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5788955688477,29.3297100067139,-91.5357360839844,29.6047306060791,-91.5,29.6
"1106",-90.48,29.48,64.1286303074508,11.9852334554022,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5788955688477,29.3297100067139,-91.5357360839844,29.6047306060791,-91.5,29.6
"1107",-90.34,29.48,72.4874661468789,11.9859415684144,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.3439865112305,29.306791305542,-91.5357360839844,29.6047306060791,-91.5,29.6
"1186",-92.72,29.62,71.2399039891898,3.40478172723109,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.6644668579102,29.6104583740234,-91.5357360839844,29.6047306060791,-91.5,29.6
"1187",-92.58,29.62,62.8201807108996,2.70862324678008,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.6128997802734,29.5932693481445,-91.5357360839844,29.6047306060791,-91.5,29.6
"1188",-92.44,29.62,54.4007595950463,3.39295822692231,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.4753875732422,29.5818119049072,-91.5357360839844,29.6047306060791,-91.5,29.6
"1189",-92.3,29.62,45.9818222690675,4.17750099249648,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.246208190918,29.5818119049072,-91.5357360839844,29.6047306060791,-91.5,29.6
"1190",-92.16,29.62,37.5637104216478,2.94622787879198,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.1258850097656,29.6505641937256,-91.5357360839844,29.6047306060791,-91.5,29.6
"1191",-92.02,29.62,29.1471568802128,1.79994681314621,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.0456695556641,29.6333770751953,-91.5357360839844,29.6047306060791,-91.5,29.6
"1192",-91.88,29.62,20.7340791548082,8.46542967316539,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.873779296875,29.7422389984131,-91.5357360839844,29.6047306060791,-91.5,29.6
"1193",-91.46,29.62,4.6763446030802,3.83216479238219,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.4612503051758,29.5646209716797,-91.5357360839844,29.6047306060791,-91.5,29.6
"1194",-91.32,29.62,13.0192555804363,7.214710456138,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.3810424804688,29.5302448272705,-91.5357360839844,29.6047306060791,-91.5,29.6
"1195",-91.18,29.62,21.4232512686593,10.5082201893695,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.2893676757812,29.5015983581543,-91.5357360839844,29.6047306060791,-91.5,29.6
"1196",-91.04,29.62,29.8367527394432,16.7343894273256,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.23779296875,29.4500312805176,-91.5357360839844,29.6047306060791,-91.5,29.6
"1197",-90.9,29.62,38.2534801618372,22.5755452991987,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.1690444946289,29.3927364349365,-91.5357360839844,29.6047306060791,-91.5,29.6
"1198",-90.76,29.62,46.6716793227988,22.8549222620737,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5788955688477,29.3297100067139,-91.5357360839844,29.6047306060791,-91.5,29.6
"1199",-90.62,29.62,55.090666094494,20.2358809188497,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5788955688477,29.3297100067139,-91.5357360839844,29.6047306060791,-91.5,29.6
"1200",-90.48,29.62,63.5101174241413,20.9485594948481,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5788955688477,29.3297100067139,-91.5357360839844,29.6047306060791,-91.5,29.6
"1201",-90.34,29.62,71.9298600613965,19.913016894898,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.0517730712891,29.4786796569824,-91.5357360839844,29.6047306060791,-91.5,29.6
"1297",-92.72,29.76,71.9885328310674,8.37909430733488,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.8019714355469,29.6620254516602,-91.5357360839844,29.6047306060791,-91.5,29.6
"1298",-92.58,29.76,63.6802181706562,11.5246360861014,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.6644668579102,29.6104583740234,-91.5357360839844,29.6047306060791,-91.5,29.6
"1299",-92.44,29.76,55.4040664620701,12.5102281821003,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.4753875732422,29.5818119049072,-91.5357360839844,29.6047306060791,-91.5,29.6
"1300",-92.3,29.76,47.1770228507217,5.31364492321813,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2118301391602,29.7536964416504,-91.5357360839844,29.6047306060791,-91.5,29.6
"1301",-92.16,29.76,39.0301695552253,1.07000617025555,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.1488037109375,29.7479705810547,-91.5357360839844,29.6047306060791,-91.5,29.6
"1302",-91.74,29.76,16.3138532692721,1.53880796989047,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.7649230957031,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
"1303",-91.6,29.76,11.4157633073576,0.0842029633923705,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.598762512207,29.759428024292,-91.5357360839844,29.6047306060791,-91.5,29.6
"1304",-91.46,29.76,11.6671465678525,8.33430302748452,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.598762512207,29.759428024292,-91.5357360839844,29.6047306060791,-91.5,29.6
"1305",-91.32,29.76,16.8389361728802,15.4385472839373,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.4440612792969,29.5646209716797,-91.5357360839844,29.6047306060791,-91.5,29.6
"1306",-91.18,29.76,23.929099925454,19.0491281079816,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.2893676757812,29.5015983581543,-91.5357360839844,29.6047306060791,-91.5,29.6
"1307",-91.04,29.76,31.6745645789605,23.3346160480381,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.2893676757812,29.5015983581543,-91.5357360839844,29.6047306060791,-91.5,29.6
"1308",-90.9,29.76,39.6935485307018,29.4602912501117,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-91.2893676757812,29.5015983581543,-91.5357360839844,29.6047306060791,-91.5,29.6
"1309",-90.76,29.76,47.8487225159509,31.7027432090757,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.5788955688477,29.3297100067139,-91.5357360839844,29.6047306060791,-91.5,29.6
"1310",-90.62,29.76,56.0806949879409,27.2928579041591,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.3955535888672,30.1032009124756,-91.5357360839844,29.6047306060791,-91.5,29.6
"1311",-90.48,29.76,64.3599942049049,23.6540397063133,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.3611755371094,30.0860137939453,-91.5357360839844,29.6047306060791,-91.5,29.6
"1312",-90.34,29.76,72.6704362001021,21.8497408716129,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-90.2637710571289,30.0688247680664,-91.5357360839844,29.6047306060791,-91.5,29.6
"1423",-92.72,29.9,74.0080380778735,17.1844266586263,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.8019714355469,29.6620254516602,-91.5357360839844,29.6047306060791,-91.5,29.6
"1424",-92.58,29.9,65.9665495809476,20.6645498584614,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.6644668579102,29.6104583740234,-91.5357360839844,29.6047306060791,-91.5,29.6
"1425",-92.44,29.9,58.0293274223803,17.0295901919264,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2118301391602,29.7536964416504,-91.5357360839844,29.6047306060791,-91.5,29.6
"1426",-92.3,29.9,50.2458225111255,11.0809189215809,29.4782878,-94.5799145,555,30.51572,-86.1362,1153,"03",5,-92.2003707885742,29.765157699585,-91.5357360839844,29.6047306060791,-91.5,29.6
